@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute test-1 {0,1,2,3,4,5}

@data
330,'2020/01/30 13:09:26:827',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
331,'2020/01/30 13:09:26:843',10,0.447059,0.447059,0.447059,0.447059,0.447059,2
332,'2020/01/30 13:09:26:862',10,0.447059,0.447059,0.447059,0.447059,0.447059,2
333,'2020/01/30 13:09:26:877',10,0.447059,0.447059,0.447059,0.447059,0.447059,2
334,'2020/01/30 13:09:26:895',10,0.454902,0.454902,0.454902,0.454902,0.454902,2
335,'2020/01/30 13:09:26:911',10,0.45098,0.45098,0.45098,0.45098,0.45098,2
336,'2020/01/30 13:09:26:927',10,0.45098,0.45098,0.45098,0.45098,0.45098,2
337,'2020/01/30 13:09:26:944',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
338,'2020/01/30 13:09:26:960',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
339,'2020/01/30 13:09:26:976',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
340,'2020/01/30 13:09:26:993',10,0.447059,0.447059,0.447059,0.447059,0.447059,2
341,'2020/01/30 13:09:27:009',10,0.447059,0.447059,0.447059,0.447059,0.447059,2
342,'2020/01/30 13:09:27:027',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
343,'2020/01/30 13:09:27:043',10,0.447059,0.447059,0.447059,0.447059,0.447059,2
344,'2020/01/30 13:09:27:060',10,0.447059,0.447059,0.447059,0.447059,0.447059,2
345,'2020/01/30 13:09:27:076',10,0.45098,0.45098,0.45098,0.45098,0.45098,2
346,'2020/01/30 13:09:27:092',10,0.45098,0.45098,0.45098,0.45098,0.45098,2
347,'2020/01/30 13:09:27:109',10,0.45098,0.45098,0.45098,0.45098,0.45098,2
348,'2020/01/30 13:09:27:127',10,0.45098,0.45098,0.45098,0.45098,0.45098,2
349,'2020/01/30 13:09:27:144',10,0.45098,0.45098,0.45098,0.45098,0.45098,2
350,'2020/01/30 13:09:27:160',10,0.45098,0.45098,0.45098,0.45098,0.45098,2
351,'2020/01/30 13:09:27:178',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
352,'2020/01/30 13:09:27:193',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
353,'2020/01/30 13:09:27:211',10,0.447059,0.447059,0.447059,0.447059,0.447059,2
354,'2020/01/30 13:09:27:925',10,0.447059,0.447059,0.447059,0.447059,0.447059,2
355,'2020/01/30 13:09:27:944',10,0.447059,0.447059,0.447059,0.447059,0.447059,2
356,'2020/01/30 13:09:27:960',10,0.447059,0.447059,0.447059,0.447059,0.447059,2
357,'2020/01/30 13:09:27:976',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
358,'2020/01/30 13:09:27:993',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
359,'2020/01/30 13:09:28:009',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
360,'2020/01/30 13:09:28:028',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
361,'2020/01/30 13:09:28:042',10,0.439216,0.439216,0.439216,0.439216,0.439216,2
362,'2020/01/30 13:09:28:061',10,0.439216,0.439216,0.439216,0.439216,0.439216,2
363,'2020/01/30 13:09:28:076',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
364,'2020/01/30 13:09:28:094',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
365,'2020/01/30 13:09:28:111',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
366,'2020/01/30 13:09:28:133',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
367,'2020/01/30 13:09:28:160',10,0.443137,0.443137,0.443137,0.443137,0.443137,2
368,'2020/01/30 13:09:42:696',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
369,'2020/01/30 13:09:42:716',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
370,'2020/01/30 13:09:42:735',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
371,'2020/01/30 13:09:42:752',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
372,'2020/01/30 13:09:42:764',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
373,'2020/01/30 13:09:42:784',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
374,'2020/01/30 13:09:42:798',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
375,'2020/01/30 13:09:42:819',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
376,'2020/01/30 13:09:42:834',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
377,'2020/01/30 13:09:42:854',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
378,'2020/01/30 13:09:42:869',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
379,'2020/01/30 13:09:42:885',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
380,'2020/01/30 13:09:42:906',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
381,'2020/01/30 13:09:42:923',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
382,'2020/01/30 13:09:42:939',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
383,'2020/01/30 13:09:42:958',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
384,'2020/01/30 13:09:42:967',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
385,'2020/01/30 13:09:42:991',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
386,'2020/01/30 13:09:43:005',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
387,'2020/01/30 13:09:43:023',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
388,'2020/01/30 13:09:43:039',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
389,'2020/01/30 13:09:43:056',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
390,'2020/01/30 13:09:43:071',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
391,'2020/01/30 13:09:43:088',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
392,'2020/01/30 13:09:43:103',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
393,'2020/01/30 13:09:43:117',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
394,'2020/01/30 13:09:43:137',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
395,'2020/01/30 13:09:43:155',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
396,'2020/01/30 13:09:43:171',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
397,'2020/01/30 13:09:43:187',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
398,'2020/01/30 13:09:43:200',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
399,'2020/01/30 13:09:43:220',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
400,'2020/01/30 13:09:43:235',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
401,'2020/01/30 13:09:43:251',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
402,'2020/01/30 13:09:43:270',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
403,'2020/01/30 13:09:43:286',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
404,'2020/01/30 13:09:43:304',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
405,'2020/01/30 13:09:43:321',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
406,'2020/01/30 13:09:43:336',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
407,'2020/01/30 13:09:43:352',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
408,'2020/01/30 13:09:43:369',10,0.917647,0.917647,0.917647,0.917647,0.917647,3
409,'2020/01/30 13:09:44:564',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
410,'2020/01/30 13:09:44:581',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
411,'2020/01/30 13:09:44:599',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
412,'2020/01/30 13:09:44:615',10,0.92549,0.92549,0.92549,0.92549,0.92549,3
413,'2020/01/30 13:09:44:632',10,0.92549,0.92549,0.92549,0.92549,0.92549,3
414,'2020/01/30 13:09:44:651',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
415,'2020/01/30 13:09:44:672',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
416,'2020/01/30 13:09:44:693',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
417,'2020/01/30 13:09:44:719',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
418,'2020/01/30 13:09:44:741',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
419,'2020/01/30 13:09:44:760',10,0.921569,0.921569,0.921569,0.921569,0.921569,3
420,'2020/01/30 13:10:00:848',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
421,'2020/01/30 13:10:00:863',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
422,'2020/01/30 13:10:00:878',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
423,'2020/01/30 13:10:00:897',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
424,'2020/01/30 13:10:00:917',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
425,'2020/01/30 13:10:00:932',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
426,'2020/01/30 13:10:00:948',10,0.945098,0.945098,0.945098,0.945098,0.945098,4
427,'2020/01/30 13:10:00:963',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
428,'2020/01/30 13:10:00:979',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
429,'2020/01/30 13:10:00:995',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
430,'2020/01/30 13:10:01:013',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
431,'2020/01/30 13:10:01:028',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
432,'2020/01/30 13:10:01:046',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
