@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
2443,'2020/01/27 14:16:11:178',25,56,58,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2444,'2020/01/27 14:16:11:178',25,56,58,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2445,'2020/01/27 14:16:11:340',25,56,60,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2446,'2020/01/27 14:16:11:341',25,58,61,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2447,'2020/01/27 14:16:11:341',25,60,62,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2448,'2020/01/27 14:16:11:341',25,62,62,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2449,'2020/01/27 14:16:11:376',25,68,61,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2450,'2020/01/27 14:16:11:460',25,89,52,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2451,'2020/01/27 14:16:11:461',25,88,52,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2452,'2020/01/27 14:16:11:498',25,87,53,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2453,'2020/01/27 14:16:11:498',25,87,53,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2454,'2020/01/27 14:16:11:498',25,86,53,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2455,'2020/01/27 14:16:11:536',25,86,53,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2456,'2020/01/27 14:16:11:536',25,85,53,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2457,'2020/01/27 14:16:11:536',25,84,52,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2458,'2020/01/27 14:16:11:578',25,82,51,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2459,'2020/01/27 14:51:40:450',25,309,327,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2460,'2020/01/27 14:51:40:451',25,312,319,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2461,'2020/01/27 14:51:40:451',25,316,311,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2462,'2020/01/27 14:51:40:451',25,321,298,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2463,'2020/01/27 14:51:40:452',25,325,283,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2464,'2020/01/27 14:51:40:486',25,326,273,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2465,'2020/01/27 14:51:40:486',25,326,269,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2466,'2020/01/27 14:51:40:486',25,326,268,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2467,'2020/01/27 14:51:40:529',25,326,267,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2468,'2020/01/27 14:51:40:529',25,326,267,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2469,'2020/01/27 14:51:40:569',25,326,268,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2470,'2020/01/27 14:51:40:569',25,322,274,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2471,'2020/01/27 14:51:40:610',25,315,290,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2472,'2020/01/27 14:51:40:610',25,314,302,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2473,'2020/01/27 14:51:40:610',25,315,312,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2474,'2020/01/27 14:51:40:610',25,316,319,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2475,'2020/01/27 14:51:40:648',25,319,324,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2476,'2020/01/27 14:51:40:648',25,322,328,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2477,'2020/01/27 14:51:40:648',25,326,329,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2478,'2020/01/27 14:51:40:689',25,328,329,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2479,'2020/01/27 14:51:40:689',25,329,328,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2480,'2020/01/27 14:51:40:689',25,330,326,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2481,'2020/01/27 14:51:40:689',25,331,321,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2482,'2020/01/27 14:51:40:726',25,331,313,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2483,'2020/01/27 14:51:40:726',25,331,307,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2484,'2020/01/27 14:51:40:727',25,330,302,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2485,'2020/01/27 14:51:40:769',25,328,299,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
